workout_id,date,workout_name,year,month,week,day_of_week,exercise_name,set_order,weight_kg,reps,volume_kg,estimated_1rm,notes
1,2015-10-23 17:06:37,Chest,2015,2015-10,2015-10-19/2015-10-25,Friday,Incline Bench Press,1,61.23492,8,489.87936,77.564232,
1,2015-10-23 17:06:37,Chest,2015,2015-10,2015-10-19/2015-10-25,Friday,Incline Bench Press,2,61.23492,8,489.87936,77.564232,
1,2015-10-23 17:06:37,Chest,2015,2015-10,2015-10-19/2015-10-25,Friday,Incline Bench Press,3,61.23492,5,306.1746,71.44074,
1,2015-10-23 17:06:37,Chest,2015,2015-10,2015-10-19/2015-10-25,Friday,Incline Bench Press,4,83.91452,7,587.4016399999999,103.49457466666667,
1,2015-10-23 17:06:37,Chest,2015,2015-10,2015-10-19/2015-10-25,Friday,Incline Bench Press,5,104.32616,8,834.60928,132.14646933333333,
1,2015-10-23 17:06:37,Chest,2015,2015-10,2015-10-19/2015-10-25,Friday,Incline Bench Press,6,104.32616,8,834.60928,132.14646933333333,
1,2015-10-23 17:06:37,Chest,2015,2015-10,2015-10-19/2015-10-25,Friday,Incline Bench Press,7,104.32616,8,834.60928,132.14646933333333,
1,2015-10-23 17:06:37,Chest,2015,2015-10,2015-10-19/2015-10-25,Friday,Incline Bench Press (Barbell),1,61.23492,8,489.87936,77.564232,
1,2015-10-23 17:06:37,Chest,2015,2015-10,2015-10-19/2015-10-25,Friday,Incline Bench Press (Barbell),2,61.23492,8,489.87936,77.564232,
1,2015-10-23 17:06:37,Chest,2015,2015-10,2015-10-19/2015-10-25,Friday,Incline Bench Press (Barbell),3,61.23492,5,306.1746,71.44074,
1,2015-10-23 17:06:37,Chest,2015,2015-10,2015-10-19/2015-10-25,Friday,Incline Bench Press (Barbell),4,83.91452,7,587.4016399999999,103.49457466666667,
1,2015-10-23 17:06:37,Chest,2015,2015-10,2015-10-19/2015-10-25,Friday,Incline Bench Press (Barbell),5,104.32616,8,834.60928,132.14646933333333,
1,2015-10-23 17:06:37,Chest,2015,2015-10,2015-10-19/2015-10-25,Friday,Incline Bench Press (Barbell),6,104.32616,8,834.60928,132.14646933333333,
1,2015-10-23 17:06:37,Chest,2015,2015-10,2015-10-19/2015-10-25,Friday,Incline Bench Press (Barbell),7,104.32616,8,834.60928,132.14646933333333,
1,2015-10-23 17:06:37,Chest,2015,2015-10,2015-10-19/2015-10-25,Friday,Weighted dips,1,99.79024,8,798.32192,126.40097066666665,
1,2015-10-23 17:06:37,Chest,2015,2015-10,2015-10-19/2015-10-25,Friday,Weighted dips,1,99.79024,8,798.32192,126.40097066666665,
1,2015-10-23 17:06:37,Chest,2015,2015-10,2015-10-19/2015-10-25,Friday,Weighted dips,2,142.88148,8,1143.05184,180.98320800000002,
1,2015-10-23 17:06:37,Chest,2015,2015-10,2015-10-19/2015-10-25,Friday,Weighted dips,2,142.88148,8,1143.05184,180.98320800000002,
1,2015-10-23 17:06:37,Chest,2015,2015-10,2015-10-19/2015-10-25,Friday,Weighted dips,3,142.88148,8,1143.05184,180.98320800000002,
1,2015-10-23 17:06:37,Chest,2015,2015-10,2015-10-19/2015-10-25,Friday,Weighted dips,3,142.88148,8,1143.05184,180.98320800000002,
1,2015-10-23 17:06:37,Chest,2015,2015-10,2015-10-19/2015-10-25,Friday,Weighted dips,4,142.88148,8,1143.05184,180.98320800000002,
1,2015-10-23 17:06:37,Chest,2015,2015-10,2015-10-19/2015-10-25,Friday,Weighted dips,4,142.88148,8,1143.05184,180.98320800000002,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Good Morning,1,52.16308,8,417.30464,66.07323466666666,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Good Morning,2,52.16308,8,417.30464,66.07323466666666,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Good Morning (Barbell),1,52.16308,8,417.30464,66.07323466666666,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Good Morning (Barbell),2,52.16308,8,417.30464,66.07323466666666,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Leg press,1,195.04456,10,1950.4456,260.0594133333333,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Leg press,2,195.04456,10,1950.4456,260.0594133333333,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Leg press,3,195.04456,10,1950.4456,260.0594133333333,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Leg press (hinge ),1,195.04456,10,1950.4456,260.0594133333333,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Leg press (hinge ),2,195.04456,10,1950.4456,260.0594133333333,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Leg press (hinge ),3,195.04456,10,1950.4456,260.0594133333333,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Squat,1,61.23492,8,489.87936,77.564232,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Squat,2,83.91452,5,419.57259999999997,97.90027333333333,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Squat,3,102.0582,7,714.4074,125.87178,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Squat,4,124.7378,5,623.689,145.52743333333333,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Squat,5,142.88148,5,714.4074,166.69506,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Squat,6,142.88148,6,857.2888800000001,171.457776,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Squat,7,142.88148,8,1143.05184,180.98320800000002,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Squat (Barbell),1,61.23492,8,489.87936,77.564232,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Squat (Barbell),2,83.91452,5,419.57259999999997,97.90027333333333,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Squat (Barbell),3,102.0582,7,714.4074,125.87178,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Squat (Barbell),4,124.7378,5,623.689,145.52743333333333,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Squat (Barbell),5,142.88148,5,714.4074,166.69506,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Squat (Barbell),6,142.88148,6,857.2888800000001,171.457776,
2,2015-10-23 22:01:34,Squat 1,2015,2015-10,2015-10-19/2015-10-25,Friday,Squat (Barbell),7,142.88148,8,1143.05184,180.98320800000002,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Chin Up,1,21.54562,8,172.36496,27.291118666666666,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Chin Up,1,21.54562,8,172.36496,27.291118666666666,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Chin Up,2,21.54562,8,172.36496,27.291118666666666,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Chin Up,2,21.54562,8,172.36496,27.291118666666666,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Chin Up,3,21.54562,8,172.36496,27.291118666666666,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Chin Up,3,21.54562,8,172.36496,27.291118666666666,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Chin Up,4,0.0,10,0.0,0.0,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Chin Up,4,0.0,10,0.0,0.0,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Lat Pulldown,1,68.0388,10,680.3879999999999,90.71839999999999,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Lat Pulldown,1,68.0388,10,680.3879999999999,90.71839999999999,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Lat Pulldown,2,68.0388,10,680.3879999999999,90.71839999999999,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Lat Pulldown,2,68.0388,10,680.3879999999999,90.71839999999999,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Rear delt fly,1,54.431039999999996,12,653.17248,76.20345599999999,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Rear delt fly,1,54.431039999999996,12,653.17248,76.20345599999999,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Rear delt fly,2,54.431039999999996,10,544.3104,72.57471999999999,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Rear delt fly,2,54.431039999999996,10,544.3104,72.57471999999999,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Rear delt fly,3,54.431039999999996,12,653.17248,76.20345599999999,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Rear delt fly,3,54.431039999999996,12,653.17248,76.20345599999999,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Seated Cable Row (close Grip),1,58.96696,8,471.73568,74.69148266666666,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Seated Cable Row (close Grip),2,58.96696,8,471.73568,74.69148266666666,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Seated Cable Row (close Grip),3,58.96696,8,471.73568,74.69148266666666,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Seated Cable Row (close Grip),4,58.96696,8,471.73568,74.69148266666666,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Seated Row,1,58.96696,8,471.73568,74.69148266666666,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Seated Row,2,58.96696,8,471.73568,74.69148266666666,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Seated Row,3,58.96696,8,471.73568,74.69148266666666,
3,2015-10-24 10:19:52,Back,2015,2015-10,2015-10-19/2015-10-25,Saturday,Seated Row,4,58.96696,8,471.73568,74.69148266666666,
4,2015-10-30 13:07:09,Chest,2015,2015-10,2015-10-26/2015-11-01,Friday,Incline Bench Press,1,61.23492,5,306.1746,71.44074,
4,2015-10-30 13:07:09,Chest,2015,2015-10,2015-10-26/2015-11-01,Friday,Incline Bench Press,2,61.23492,5,306.1746,71.44074,
4,2015-10-30 13:07:09,Chest,2015,2015-10,2015-10-26/2015-11-01,Friday,Incline Bench Press,3,83.91452,6,503.48712,100.697424,
4,2015-10-30 13:07:09,Chest,2015,2015-10,2015-10-26/2015-11-01,Friday,Incline Bench Press,4,83.91452,7,587.4016399999999,103.49457466666667,
4,2015-10-30 13:07:09,Chest,2015,2015-10,2015-10-26/2015-11-01,Friday,Incline Bench Press,5,104.32616,8,834.60928,132.14646933333333,
4,2015-10-30 13:07:09,Chest,2015,2015-10,2015-10-26/2015-11-01,Friday,Incline Bench Press,6,104.32616,8,834.60928,132.14646933333333,
4,2015-10-30 13:07:09,Chest,2015,2015-10,2015-10-26/2015-11-01,Friday,Incline Bench Press,7,104.32616,8,834.60928,132.14646933333333,
4,2015-10-30 13:07:09,Chest,2015,2015-10,2015-10-26/2015-11-01,Friday,Incline Bench Press,8,106.59412,6,639.5647200000001,127.912944,
4,2015-10-30 13:07:09,Chest,2015,2015-10,2015-10-26/2015-11-01,Friday,Incline Bench Press (Barbell),1,61.23492,5,306.1746,71.44074,
4,2015-10-30 13:07:09,Chest,2015,2015-10,2015-10-26/2015-11-01,Friday,Incline Bench Press (Barbell),2,61.23492,5,306.1746,71.44074,
4,2015-10-30 13:07:09,Chest,2015,2015-10,2015-10-26/2015-11-01,Friday,Incline Bench Press (Barbell),3,83.91452,6,503.48712,100.697424,
4,2015-10-30 13:07:09,Chest,2015,2015-10,2015-10-26/2015-11-01,Friday,Incline Bench Press (Barbell),4,83.91452,7,587.4016399999999,103.49457466666667,
4,2015-10-30 13:07:09,Chest,2015,2015-10,2015-10-26/2015-11-01,Friday,Incline Bench Press (Barbell),5,104.32616,8,834.60928,132.14646933333333,
