"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Bench Press (Barbell)";"3";"80.0";"4";"";"";"";"";""
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Seated Row (Cable)";"W";"50.0";"15";"";"";"";"";""
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Seated Row (Cable)";"1";"70.0";"12";"";"";"";"";""
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Seated Row (Cable)";"2";"80.0";"8";"";"";"";"";""
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Seated Row (Cable)";"3";"80.0";"5";"";"";"";"";""
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Leg Press";"1";"150.0";"15";"";"";"";"";""
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Leg Press";"2";"200.0";"10";"";"";"";"";""
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Leg Press";"3";"250.0";"8";"";"";"";"";""
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Leg Press";"4";"200.0";"10";"";"";"";"";""
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Seated Overhead Press (Dumbbell)";"W";"12.0";"10";"";"";"";"";""
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Seated Overhead Press (Dumbbell)";"1";"22.0";"8";"";"";"";"";""
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Seated Overhead Press (Dumbbell)";"2";"22.0";"9";"";"";"";"";""
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Seated Overhead Press (Dumbbell)";"3";"22.0";"6";"";"";"";"";""
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Bicep Curl (Barbell)";"1";"20.0";"13";"";"";"";"";""
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Bicep Curl (Barbell)";"2";"20.0";"8";"";"";"";"";""
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Bicep Curl (Barbell)";"3";"11.0";"11";"";"";"";"";""
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Reverse Fly (Machine)";"1";"37.5";"14";"";"";"";"";""
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Reverse Fly (Machine)";"2";"40.0";"15";"";"";"";"";""
"5";"2020-06-05 17:21:14";"Day 2";"4894";"Reverse Fly (Machine)";"3";"40.0";"14";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Incline Bench Press (Dumbbell)";"W";"16.0";"18";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Incline Bench Press (Dumbbell)";"1";"26.0";"10";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Incline Bench Press (Dumbbell)";"2";"28.0";"9";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Incline Bench Press (Dumbbell)";"3";"28.0";"8";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Incline Bench Press (Dumbbell)";"4";"28.0";"8";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Leg Press";"1";"150.0";"15";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Leg Press";"2";"200.0";"10";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Leg Press";"3";"200.0";"11";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Leg Press";"4";"200.0";"11";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Pull Up";"1";"10.0";"10";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Pull Up";"2";"10.0";"8";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Pull Up";"3";"5.0";"8";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Pull Up";"4";"0.0";"8";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Shoulder Press (Machine)";"1";"25.0";"12";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Shoulder Press (Machine)";"2";"30.0";"10";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Shoulder Press (Machine)";"3";"35.0";"9";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Shoulder Press (Machine)";"4";"40.0";"7";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Bicep Curl (Barbell)";"1";"17.5";"12";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Bicep Curl (Barbell)";"2";"17.5";"9";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Bicep Curl (Barbell)";"3";"17.5";"7";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Lateral Raise (Cable)";"1";"6.25";"13";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Lateral Raise (Cable)";"2";"6.25";"14";"";"";"";"";""
"6";"2020-06-07 15:19:22";"Day 3";"4109";"Lateral Raise (Cable)";"3";"6.25";"12";"";"";"";"";""
"7";"2020-06-08 16:12:58";"Day 4";"4353";"Lying Leg Curl (Machine)";"1";"20.0";"12";"";"";"";"";"Day 4"
"7";"2020-06-08 16:12:58";"Day 4";"4353";"Lying Leg Curl (Machine)";"2";"20.0";"12";"";"";"";"";"Day 4"
"7";"2020-06-08 16:12:58";"Day 4";"4353";"Lying Leg Curl (Machine)";"3";"22.5";"8";"";"";"";"";"Day 4"
"7";"2020-06-08 16:12:58";"Day 4";"4353";"Chest Fly";"W";"35.0";"15";"";"";"";"";"Day 4"
"7";"2020-06-08 16:12:58";"Day 4";"4353";"Chest Fly";"1";"52.5";"13";"";"";"";"";"Day 4"
"7";"2020-06-08 16:12:58";"Day 4";"4353";"Chest Fly";"2";"55.0";"12";"";"";"";"";"Day 4"
"7";"2020-06-08 16:12:58";"Day 4";"4353";"Chest Fly";"3";"55.0";"10";"";"";"";"";"Day 4"
"7";"2020-06-08 16:12:58";"Day 4";"4353";"Bent Over Row (Barbell)";"W";"20.0";"10";"";"";"";"";"Day 4"
"7";"2020-06-08 16:12:58";"Day 4";"4353";"Bent Over Row (Barbell)";"1";"50.0";"11";"";"";"";"";"Day 4"
"7";"2020-06-08 16:12:58";"Day 4";"4353";"Bent Over Row (Barbell)";"2";"50.0";"14";"";"";"";"";"Day 4"
"7";"2020-06-08 16:12:58";"Day 4";"4353";"Bent Over Row (Barbell)";"3";"55.0";"9";"";"";"";"";"Day 4"
"7";"2020-06-08 16:12:58";"Day 4";"4353";"Shoulder Press (Machine)";"1";"30.0";"11";"";"";"";"";"Day 4"
"7";"2020-06-08 16:12:58";"Day 4";"4353";"Shoulder Press (Machine)";"2";"40.0";"10";"";"";"";"";"Day 4"
"7";"2020-06-08 16:12:58";"Day 4";"4353";"Shoulder Press (Machine)";"3";"40.0";"7";"";"";"";"";"Day 4"
"7";"2020-06-08 16:12:58";"Day 4";"4353";"Triceps Pushdown (Cable - Straight Bar)";"1";"17.5";"15";"";"";"";"";"Day 4"
"7";"2020-06-08 16:12:58";"Day 4";"4353";"Triceps Pushdown (Cable - Straight Bar)";"2";"21.25";"11";"";"";"";"";"Day 4"
"7";"2020-06-08 16:12:58";"Day 4";"4353";"Triceps Pushdown (Cable - Straight Bar)";"3";"21.25";"7";"";"";"";"";"Day 4"
"7";"2020-06-08 16:12:58";"Day 4";"4353";"Face Pull (Cable)";"1";"12.5";"15";"";"";"";"";"Day 4"
"7";"2020-06-08 16:12:58";"Day 4";"4353";"Face Pull (Cable)";"2";"15.0";"15";"";"";"";"";"Day 4"
"7";"2020-06-08 16:12:58";"Day 4";"4353";"Face Pull (Cable)";"3";"21.25";"10";"";"";"";"";"Day 4"
"8";"2020-06-10 16:30:14";"Day 5";"5256";"Bench Press (Barbell)";"W";"20.0";"20";"";"";"";"";""
"8";"2020-06-10 16:30:14";"Day 5";"5256";"Bench Press (Barbell)";"W";"50.0";"17";"";"";"";"";""
"8";"2020-06-10 16:30:14";"Day 5";"5256";"Bench Press (Barbell)";"1";"70.0";"8";"";"";"";"";""
"8";"2020-06-10 16:30:14";"Day 5";"5256";"Bench Press (Barbell)";"2";"70.0";"10";"";"";"";"";""
"8";"2020-06-10 16:30:14";"Day 5";"5256";"Bench Press (Barbell)";"3";"72.5";"7";"";"";"";"";""
"8";"2020-06-10 16:30:14";"Day 5";"5256";"Pull Up";"1";"10.0";"10";"";"";"";"";""
"8";"2020-06-10 16:30:14";"Day 5";"5256";"Pull Up";"2";"10.0";"9";"";"";"";"";""
"8";"2020-06-10 16:30:14";"Day 5";"5256";"Pull Up";"3";"10.0";"9";"";"";"";"";""
"8";"2020-06-10 16:30:14";"Day 5";"5256";"Pull Up";"4";"0.0";"7";"";"";"";"";""
"8";"2020-06-10 16:30:14";"Day 5";"5256";"Seated Leg Press (Machine)";"W";"50.0";"15";"";"";"";"";""
