month,exercise_name,best_1rm_kg
2020-09-01,Hack Squat (Barbell),76.0
2020-09-01,Hammer Curl (Dumbbell),16.0
2020-09-01,Incline Bench Press (Dumbbell),42.7
2020-09-01,Incline Curl (Dumbbell),16.8
2020-09-01,Lat Pulldown (Cable),39.0
2020-09-01,Lat Pulldown (Single Arm),46.7
2020-09-01,Lateral Raise (Cable),11.8
2020-09-01,Leg Extension (Machine),108.8
2020-09-01,Leg Press,316.7
2020-09-01,Lying Leg Curl (Machine),31.7
2020-09-01,Pull Up,19.5
2020-09-01,Pullover (Machine),40.3
2020-09-01,Reverse Fly (Machine),72.0
2020-09-01,Romanian Deadlift (Barbell),106.7
2020-09-01,Seated Calf Raise (Plate Loaded),53.3
2020-09-01,Seated Leg Curl (Machine),88.8
2020-09-01,Seated Leg Press (Machine),148.2
2020-09-01,Seated Overhead Press (Dumbbell),28.7
2020-09-01,Seated Row (Cable),96.0
2020-09-01,Shoulder Press (Machine),54.7
2020-09-01,Shrug (Barbell),78.0
2020-09-01,Skullcrusher (Barbell),33.0
2020-09-01,Strict Military Press (Barbell),54.0
2020-09-01,Triceps Extension (Cable),21.7
2020-09-01,Triceps Pushdown (Cable - Straight Bar),41.9
2020-10-01,Back Extension,15.0
2020-10-01,Bench Press (Barbell),99.0
2020-10-01,Bent Over Row (Barbell),76.0
2020-10-01,Bicep Curl (Barbell),35.0
2020-10-01,Bicep Curl (Cable),15.4
2020-10-01,Bicep Curl (Machine),77.0
2020-10-01,Cable Crossover,19.7
2020-10-01,Chest Dip,33.3
2020-10-01,Chest Fly,86.3
2020-10-01,Crunch (Machine),52.0
2020-10-01,Deadlift (Barbell),120.0
2020-10-01,Hammer Curl (Dumbbell),15.3
2020-10-01,Incline Bench Press (Dumbbell),44.2
2020-10-01,Incline Curl (Dumbbell),15.6
2020-10-01,Lat Pulldown (Cable),93.3
2020-10-01,Lat Pulldown (Single Arm),41.0
2020-10-01,Lateral Raise (Cable),10.8
2020-10-01,Lateral Raise (Machine),39.0
2020-10-01,Leg Extension (Machine),111.2
2020-10-01,Leg Press,325.0
2020-10-01,Lying Leg Curl (Machine),76.7
2020-10-01,Pull Up,19.5
2020-10-01,Pullover (Machine),41.2
2020-10-01,Reverse Fly (Machine),68.0
2020-10-01,Romanian Deadlift (Barbell),106.7
2020-10-01,Seated Calf Raise (Plate Loaded),50.0
2020-10-01,Seated Leg Curl (Machine),86.3
2020-10-01,Seated Leg Press (Machine),146.9
2020-10-01,Seated Overhead Press (Dumbbell),28.8
2020-10-01,Seated Row (Cable),98.7
2020-10-01,Seated Row (Machine),94.3
2020-10-01,Shoulder Press (Machine),55.5
2020-10-01,Skullcrusher (Barbell),35.0
2020-10-01,Squat (Barbell),93.3
2020-10-01,Strict Military Press (Barbell),54.0
2020-10-01,T Bar Row,60.0
2020-10-01,Triceps Extension,12.0
2020-10-01,Triceps Extension (Cable),8.5
2020-10-01,Triceps Pushdown (Cable - Straight Bar),40.8
2020-11-01,Ab Wheel,0.0
2020-11-01,Bent Over One Arm Row (Dumbbell),32.3
2020-11-01,Bicep Curl (Cable),0.0
2020-11-01,Bicep Curl (Machine),70.7
2020-11-01,Bulgarian Split Squat,30.8
2020-11-01,Chest Dip,0.0
2020-11-01,Goblet Squat (Kettlebell),33.7
2020-11-01,Handstand Push Up,0.0
2020-11-01,Kettlebell Swing,29.3
2020-11-01,Lateral Raise (Dumbbell),8.0
2020-11-01,Leg Extension (Machine),102.5
2020-11-01,Overhead Press (Dumbbell),20.8
2020-11-01,Pull Up,24.9
2020-11-01,Pullover (Dumbbell),30.8
2020-11-01,Push Up,0.0
2020-11-01,Romanian Deadlift (Barbell),106.7
2020-11-01,Seated Calf Raise (Plate Loaded),47.0
2020-11-01,Seated Leg Curl (Machine),86.7
2020-11-01,Seated Leg Press (Machine),143.0
2020-11-01,Shrug (Dumbbell),33.0
2020-12-01,Ab Wheel,0.0
2020-12-01,Bent Over One Arm Row (Dumbbell),29.3
2020-12-01,Bicep Curl (Cable),0.0
2020-12-01,Chest Dip,0.0
2020-12-01,Goblet Squat (Kettlebell),36.7
2020-12-01,Handstand Push Up,0.0
2020-12-01,Kettlebell Swing,26.7
2020-12-01,Lateral Raise (Dumbbell),8.2
2020-12-01,Overhead Press (Dumbbell),21.9
2020-12-01,Pull Up,0.0
2020-12-01,Pullover (Dumbbell),31.5
2020-12-01,Push Up,0.0
2021-01-01,Ab Wheel,0.0
2021-01-01,Bent Over One Arm Row (Dumbbell),31.5
2021-01-01,Bicep Curl (Cable),0.0
2021-01-01,Bicep Curl (Dumbbell),8.0
2021-01-01,Bulgarian Split Squat,32.3
2021-01-01,Chest Dip,0.0
2021-01-01,Deadlift (Dumbbell),24.5
2021-01-01,Goblet Squat (Kettlebell),36.7
2021-01-01,Handstand Push Up,0.0
2021-01-01,Lateral Raise (Dumbbell),8.3
2021-01-01,Overhead Press (Dumbbell),21.3
2021-01-01,Pull Up,27.9
2021-01-01,Push Up,0.0
2021-01-01,Shrug (Dumbbell),33.0
2021-01-01,Triceps Dip,0.0
2021-02-01,Arnold Press (Dumbbell),21.3
2021-02-01,Bent Over One Arm Row (Dumbbell),33.0
2021-02-01,Bent Over Row (Band),0.0
2021-02-01,Bicep Curl (Cable),0.0
2021-02-01,Bicep Curl (Dumbbell),8.3
2021-02-01,Bulgarian Split Squat,33.7
2021-02-01,Chest Dip,0.0
2021-02-01,Deadlift (Dumbbell),24.0
2021-02-01,Face Pull (Cable),0.0
2021-02-01,Goblet Squat (Kettlebell),38.1
2021-02-01,Handstand Push Up,0.0
2021-02-01,Hip Thrust (Barbell),30.8
2021-02-01,Lateral Raise (Dumbbell),7.8
2021-02-01,Lunge (Dumbbell),33.0
2021-02-01,Overhead Press (Dumbbell),24.5
2021-02-01,Pull Up,10.7
2021-02-01,Push Up,7.5
2021-02-01,Push Up (Band),0.0
2021-02-01,Shrug (Barbell),29.3
2021-02-01,Triceps Extension,0.0
2021-02-01,Upright Row (Dumbbell),32.3
2021-02-01,Wide Pull Up,19.7
2021-03-01,Bent Over One Arm Row (Dumbbell),34.5
2021-03-01,Bent Over Row (Band),0.0
2021-03-01,Bicep Curl (Cable),0.0
2021-03-01,Chest Dip,0.0
2021-03-01,Deadlift (Dumbbell),33.0
2021-03-01,Goblet Squat (Kettlebell),34.5
2021-03-01,Handstand Push Up,0.0
2021-03-01,Kettlebell Swing,28.3
2021-03-01,Lateral Raise (Dumbbell),8.7
2021-03-01,Overhead Press (Dumbbell),32.3
2021-03-01,Push Up (Band),22.4
2021-03-01,Shrug (Barbell),24.5
2021-03-01,Triceps Extension,0.0
2021-03-01,Upright Row (Dumbbell),35.9
2021-03-01,Wide Pull Up,20.8
2021-04-01,Ab Wheel,0.0
2021-04-01,Bent Over One Arm Row (Dumbbell),34.5
2021-04-01,Bicep Curl (Cable),32.3
2021-04-01,Chest Dip,7.3
2021-04-01,Cross Body Crunch,0.0
2021-04-01,Crunch,8.7
2021-04-01,Deadlift (Dumbbell),33.7
2021-04-01,Goblet Squat (Kettlebell),37.4
2021-04-01,Hip Thrust (Barbell),32.3
2021-04-01,Lateral Raise (Dumbbell),8.7
2021-04-01,Leg Extension (Machine),103.9
2021-04-01,Lunge (Dumbbell),53.2
2021-04-01,Overhead Press (Dumbbell),28.6
2021-04-01,Pull Up,7.2
2021-04-01,Push Up (Band),7.3
2021-04-01,Shrug (Barbell),35.9
2021-04-01,Shrug (Dumbbell),32.3
2021-04-01,Triceps Extension,0.0
2021-04-01,Upright Row (Dumbbell),38.9
2021-04-01,Wide Pull Up,21.3
2021-05-01,Ab Wheel,0.0
2021-05-01,Bench Press (Barbell),91.0
2021-05-01,Bent Over One Arm Row (Dumbbell),33.0
2021-05-01,Bicep Curl (Barbell),35.0
2021-05-01,Bicep Curl (Cable),32.3
2021-05-01,Bicep Curl (Dumbbell),11.7
2021-05-01,Bicep Curl (Machine),74.2
2021-05-01,Cable Crossover,17.9
2021-05-01,Chest Dip,7.7
2021-05-01,Chest Fly,92.0
2021-05-01,Cross Body Crunch,0.0
2021-05-01,Crunch,0.0
2021-05-01,Deadlift (Barbell),126.7
2021-05-01,Deadlift (Dumbbell),58.3
2021-05-01,Goblet Squat (Kettlebell),36.7
2021-05-01,Hip Abductor (Machine),86.3
2021-05-01,Hip Adductor (Machine),100.3
2021-05-01,Hip Thrust (Barbell),34.5
2021-05-01,Incline Bench Press (Dumbbell),39.2
2021-05-01,Lat Pulldown (Cable),93.3
2021-05-01,Lateral Raise (Cable),11.0
2021-05-01,Lateral Raise (Dumbbell),8.7
2021-05-01,Leg Extension (Machine),107.5
2021-05-01,Leg Press,322.7
2021-05-01,Lunge (Dumbbell),58.3
2021-05-01,Lying Leg Curl (Machine),58.1
2021-05-01,Overhead Press (Dumbbell),30.1
2021-05-01,Pullover (Machine),45.0
2021-05-01,Push Up (Band),7.7
2021-05-01,Reverse Fly (Machine),65.2
2021-05-01,Seated Leg Curl (Machine),73.3
2021-05-01,Seated Overhead Press (Dumbbell),26.7
2021-05-01,Seated Row (Cable),100.3
2021-05-01,Shrug (Barbell),40.7
2021-05-01,Squat (Barbell),80.0
2021-05-01,Strict Military Press (Barbell),50.7
2021-05-01,Sumo Deadlift (Barbell),91.0
2021-05-01,Triceps Extension,0.0
2021-05-01,Triceps Extension (Cable),30.5
2021-05-01,Triceps Pushdown (Cable - Straight Bar),38.3
2021-05-01,Upright Row (Dumbbell),38.9
2021-05-01,Wide Pull Up,21.3
2021-06-01,Bench Press (Barbell),95.7
2021-06-01,Bicep Curl (Barbell),36.7
2021-06-01,Bicep Curl (Cable),10.5
2021-06-01,Bicep Curl (Machine),76.0
2021-06-01,Cable Crossover,17.1
2021-06-01,Chest Fly,90.1
2021-06-01,Crunch (Machine),52.5
2021-06-01,Deadlift (Barbell),130.0
2021-06-01,Hip Abductor (Machine),80.5
2021-06-01,Hip Adductor (Machine),125.3
2021-06-01,Incline Bench Press (Dumbbell),44.0
2021-06-01,Lat Pulldown (Cable),98.0
2021-06-01,Lat Pulldown (Machine),91.0
2021-06-01,Lateral Raise (Cable),10.5
2021-06-01,Lateral Raise (Machine),47.7
2021-06-01,Leg Extension (Machine),113.6
2021-06-01,Leg Press,337.3
2021-06-01,Lying Leg Curl (Machine),66.7
2021-06-01,Overhead Press (Dumbbell),28.0
2021-06-01,Pullover (Machine),42.8
2021-06-01,Reverse Fly (Machine),68.3
2021-06-01,Seated Leg Curl (Machine),89.6
2021-06-01,Seated Leg Press (Machine),150.3
2021-06-01,Seated Overhead Press (Dumbbell),27.3
2021-06-01,Seated Row (Cable),98.7
2021-06-01,Seated Row (Machine),95.7
2021-06-01,Shoulder Press (Machine),56.0
2021-06-01,Shrug (Dumbbell),44.8
2021-06-01,Skullcrusher (Barbell),36.7
2021-06-01,Squat (Barbell),88.7
2021-06-01,Triceps Extension (Machine),117.3
2021-06-01,Triceps Pushdown (Cable - Straight Bar),43.3
2021-07-01,Bench Press (Barbell),95.7
2021-07-01,Bent Over Row (Barbell),86.0
2021-07-01,Bicep Curl (Barbell),38.5
