month,exercise_name,best_1rm_kg
2022-03-01,Romanian Deadlift (Barbell),100.3
2022-03-01,Seated Calf Raise (Plate Loaded),62.7
2022-03-01,Seated Leg Curl (Machine),100.3
2022-03-01,Seated Overhead Press (Dumbbell),36.4
2022-03-01,Seated Row (Machine),107.5
2022-03-01,Shoulder Press (Machine),66.0
2022-03-01,Shrug (Dumbbell),49.0
2022-03-01,Squat (Barbell),106.7
2022-03-01,Squat (Smith Machine),76.0
2022-03-01,Strict Military Press (Barbell),60.0
2022-03-01,Triceps Extension (Cable),43.1
2022-03-01,Triceps Pushdown (Cable - Straight Bar),50.0
2022-04-01,Bench Press (Barbell),101.3
2022-04-01,Bent Over Row (Barbell),88.0
2022-04-01,Bicep Curl (Barbell),45.9
2022-04-01,Bicep Curl (Cable),37.5
2022-04-01,Bicep Curl (Machine),86.0
2022-04-01,Bulgarian Split Squat,18.7
2022-04-01,Cable Crossover,21.5
2022-04-01,Chest Dip,26.7
2022-04-01,Chest Fly,92.3
2022-04-01,Face Pull (Cable),29.2
2022-04-01,Hammer Curl (Dumbbell),16.0
2022-04-01,Hip Adductor (Machine),157.2
2022-04-01,Incline Bench Press (Dumbbell),49.9
2022-04-01,Incline Chest Press (Machine),58.5
2022-04-01,Incline Curl (Dumbbell),17.6
2022-04-01,Lat Pulldown (Single Arm),48.0
2022-04-01,Lateral Raise (Dumbbell),17.2
2022-04-01,Lateral Raise (Machine),51.3
2022-04-01,Leg Extension (Machine),164.7
2022-04-01,Leg Press,280.0
2022-04-01,Lying Leg Curl (Machine),88.2
2022-04-01,Overhead Press (Dumbbell),32.3
2022-04-01,Pull Up,14.0
2022-04-01,Pullover (Machine),54.2
2022-04-01,Reverse Fly (Machine),84.3
2022-04-01,Seated Leg Curl (Machine),103.9
2022-04-01,Seated Leg Press (Machine),161.3
2022-04-01,Seated Row (Machine),112.5
2022-04-01,Shoulder Press (Machine),66.7
2022-04-01,Skullcrusher (Barbell),39.2
2022-04-01,Squat (Smith Machine),82.0
2022-04-01,T Bar Row,61.5
2022-04-01,Triceps Extension (Cable),47.9
2022-04-01,Triceps Pushdown (Cable - Straight Bar),49.5
2022-04-01,Upright Row (Barbell),49.1
2022-04-01,Upright Row (Cable),36.7
2022-05-01,Back Extension,16.7
2022-05-01,Bench Press (Barbell),102.0
2022-05-01,Bench Press - Close Grip (Barbell),84.0
2022-05-01,Bicep Curl (Barbell),44.3
2022-05-01,Bicep Curl (Cable),36.7
2022-05-01,Bicep Curl (Machine),86.0
2022-05-01,Bulgarian Split Squat,20.5
2022-05-01,Cable Crossover,23.0
2022-05-01,Chest Dip,35.8
2022-05-01,Crunch (Machine),68.0
2022-05-01,Face Pull (Cable),27.6
2022-05-01,Hammer Curl (Dumbbell),21.9
2022-05-01,Hip Abductor (Machine),116.0
2022-05-01,Hip Adductor (Machine),164.7
2022-05-01,Incline Bench Press (Dumbbell),49.2
2022-05-01,Incline Chest Press (Machine),54.0
2022-05-01,Incline Curl (Dumbbell),16.0
2022-05-01,Lat Pulldown (Cable),117.3
2022-05-01,Lat Pulldown (Single Arm),50.2
2022-05-01,Lateral Raise (Cable),12.8
2022-05-01,Lateral Raise (Dumbbell),18.4
2022-05-01,Leg Extension (Machine),153.3
2022-05-01,Lying Leg Curl (Machine),86.2
2022-05-01,Overhead Press (Dumbbell),33.8
2022-05-01,Pull Up,13.0
2022-05-01,Pullover (Machine),50.0
2022-05-01,Reverse Fly (Machine),90.1
2022-05-01,Romanian Deadlift (Barbell),112.0
2022-05-01,Seated Leg Curl (Machine),95.3
2022-05-01,Seated Leg Press (Machine),164.5
2022-05-01,Seated Row (Cable),104.0
2022-05-01,Seated Row (Machine),91.0
2022-05-01,Shoulder Press (Machine),69.0
2022-05-01,Shrug (Dumbbell),34.0
2022-05-01,Skullcrusher (Barbell),45.9
2022-05-01,Standing Calf Raise (Machine),108.3
2022-05-01,T Bar Row,66.0
2022-05-01,Triceps Extension,14.7
2022-05-01,Triceps Extension (Cable),37.5
2022-05-01,Triceps Pushdown (Cable - Straight Bar),47.0
2022-05-01,Upright Row (Cable),37.5
2022-06-01,Bench Press (Barbell),106.7
2022-06-01,Bench Press - Close Grip (Barbell),95.7
2022-06-01,Bicep Curl (Barbell),42.7
2022-06-01,Bulgarian Split Squat,20.5
2022-06-01,Cable Crossover,24.4
2022-06-01,Chest Dip,33.3
2022-06-01,Chest Press (Machine),74.8
2022-06-01,Crunch (Machine),85.0
2022-06-01,Face Pull (Cable),30.3
2022-06-01,Glute Kickback (Machine),77.0
2022-06-01,Hammer Curl (Dumbbell),21.9
2022-06-01,Incline Bench Press (Dumbbell),50.4
2022-06-01,Incline Chest Press (Machine),52.0
2022-06-01,Incline Curl (Dumbbell),14.7
2022-06-01,Lat Pulldown (Cable),104.0
2022-06-01,Lateral Raise (Cable),11.4
2022-06-01,Lateral Raise (Dumbbell),17.6
2022-06-01,Leg Extension (Machine),157.2
2022-06-01,Leg Press,260.0
2022-06-01,Lying Leg Curl (Machine),84.3
2022-06-01,Overhead Press (Dumbbell),35.5
2022-06-01,Pull Up,18.5
2022-06-01,Pullover (Machine),49.8
2022-06-01,Reverse Fly (Machine),86.2
2022-06-01,Romanian Deadlift (Barbell),109.3
2022-06-01,Seated Leg Curl (Machine),84.3
2022-06-01,Seated Leg Press (Machine),168.0
2022-06-01,Seated Row (Cable),106.7
2022-06-01,Seated Row (Machine),118.3
2022-06-01,Shoulder Press (Machine),67.5
2022-06-01,Shrug (Dumbbell),42.4
2022-06-01,Skullcrusher (Barbell),41.4
2022-06-01,Standing Calf Raise (Machine),135.3
2022-06-01,T Bar Row,64.5
2022-06-01,Triceps Extension,15.3
2022-06-01,Triceps Extension (Cable),34.7
2022-06-01,Triceps Pushdown (Cable - Straight Bar),46.0
2022-07-01,Bench Press (Barbell),110.5
2022-07-01,Bent Over Row (Barbell),107.3
2022-07-01,Bicep Curl (Barbell),40.5
2022-07-01,Bicep Curl (Machine),83.3
2022-07-01,Cable Crossover,23.3
2022-07-01,Chest Dip,29.3
2022-07-01,Crunch (Machine),86.2
2022-07-01,Face Pull (Cable),31.2
2022-07-01,Hammer Curl (Dumbbell),19.6
2022-07-01,Hip Abductor (Machine),120.8
2022-07-01,Hip Adductor (Machine),158.3
2022-07-01,Incline Bench Press (Dumbbell),51.6
2022-07-01,Incline Chest Press (Machine),82.3
2022-07-01,Incline Curl (Dumbbell),18.0
2022-07-01,Lat Pulldown (Cable),120.0
2022-07-01,Lateral Raise (Cable),12.3
2022-07-01,Lateral Raise (Dumbbell),18.4
2022-07-01,Lying Leg Curl (Machine),73.3
2022-07-01,Overhead Press (Dumbbell),35.2
2022-07-01,Pull Up,19.5
2022-07-01,Pullover (Machine),52.0
2022-07-01,Reverse Fly (Machine),82.3
2022-07-01,Romanian Deadlift (Barbell),102.7
2022-07-01,Seated Leg Press (Machine),122.7
2022-07-01,Seated Row (Cable),112.0
2022-07-01,Seated Row (Machine),96.7
2022-07-01,Shoulder Press (Machine),67.5
2022-07-01,Shrug (Dumbbell),41.6
2022-07-01,Skullcrusher (Barbell),43.7
2022-07-01,Standing Calf Raise (Machine),104.0
2022-07-01,T Bar Row,63.0
2022-07-01,Triceps Extension,15.4
2022-07-01,Triceps Extension (Cable),34.7
2022-07-01,Triceps Pushdown (Cable - Straight Bar),51.0
2022-08-01,Back Extension,15.7
2022-08-01,Bench Press (Barbell),104.8
2022-08-01,Bent Over Row (Barbell),102.7
2022-08-01,Bicep Curl (Barbell),44.8
2022-08-01,Cable Crossover,23.8
2022-08-01,Chest Dip,27.3
2022-08-01,Chest Fly,99.7
2022-08-01,Hammer Curl (Dumbbell),16.8
2022-08-01,Hip Abductor (Machine),114.8
2022-08-01,Hip Thrust (Barbell),57.3
2022-08-01,Incline Bench Press (Dumbbell),50.4
2022-08-01,Incline Curl (Dumbbell),14.3
2022-08-01,Lat Pulldown (Cable),114.0
2022-08-01,Lat Pulldown (Single Arm),56.7
2022-08-01,Lateral Raise (Cable),9.6
2022-08-01,Lateral Raise (Dumbbell),16.0
2022-08-01,Pullover (Machine),50.0
2022-08-01,Reverse Fly (Machine),69.4
2022-08-01,Romanian Deadlift (Barbell),92.0
2022-08-01,Seated Leg Press (Machine),114.8
2022-08-01,Seated Overhead Press (Dumbbell),35.5
2022-08-01,Seated Row (Machine),114.7
2022-08-01,Shoulder Press (Machine),69.0
2022-08-01,Shrug (Dumbbell),34.0
2022-08-01,T Bar Row,56.0
2022-08-01,Triceps Extension,28.8
2022-08-01,Triceps Pushdown (Cable - Straight Bar),52.1
2022-09-01,Bench Press (Barbell),107.7
2022-09-01,Bicep Curl (Barbell),46.2
2022-09-01,Cable Crossover,21.5
2022-09-01,Chest Dip,26.7
2022-09-01,Chest Fly,103.5
2022-09-01,Hammer Curl (Dumbbell),17.6
2022-09-01,Hip Abductor (Machine),114.8
2022-09-01,Hip Adductor (Machine),141.7
2022-09-01,Hip Thrust (Barbell),86.0
2022-09-01,Incline Bench Press (Dumbbell),51.6
2022-09-01,Incline Curl (Dumbbell),19.6
2022-09-01,Lat Pulldown (Cable),120.0
2022-09-01,Lateral Raise (Cable),11.8
2022-09-01,Leg Extension (Machine),106.2
2022-09-01,Pull Up,13.3
2022-09-01,Pullover (Machine),53.1
2022-09-01,Reverse Fly (Machine),76.7
2022-09-01,Romanian Deadlift (Barbell),112.0
2022-09-01,Seated Leg Curl (Machine),95.3
2022-09-01,Seated Leg Press (Machine),136.0
2022-09-01,Seated Overhead Press (Dumbbell),39.0
2022-09-01,Seated Row (Machine),112.0
2022-09-01,Shoulder Press (Machine),66.0
2022-09-01,Shrug (Dumbbell),43.2
2022-09-01,Squat (Smith Machine),86.0
2022-09-01,Triceps Extension,32.6
2022-09-01,Triceps Pushdown (Cable - Straight Bar),47.0
2022-10-01,Bench Press (Barbell),114.7
2022-10-01,Bicep Curl (Barbell),49.1
2022-10-01,Cable Crossover,26.0
2022-10-01,Chest Fly,112.0
2022-10-01,Chest Press (Machine),52.0
2022-10-01,Hammer Curl (Dumbbell),17.6
2022-10-01,Hip Abductor (Machine),125.7
2022-10-01,Hip Adductor (Machine),198.0
2022-10-01,Hip Thrust (Barbell),86.0
2022-10-01,Incline Bench Press (Dumbbell),51.6
2022-10-01,Incline Curl (Dumbbell),20.5
2022-10-01,Lat Pulldown (Cable),129.0
2022-10-01,Lateral Raise (Cable),11.5
2022-10-01,Lateral Raise (Dumbbell),16.8
2022-10-01,Leg Extension (Machine),116.0
2022-10-01,Reverse Fly (Machine),82.3
2022-10-01,Romanian Deadlift (Barbell),114.7
2022-10-01,Seated Leg Curl (Machine),101.8
2022-10-01,Seated Leg Press (Machine),139.3
2022-10-01,Seated Overhead Press (Dumbbell),39.9
2022-10-01,Seated Row (Cable),117.0
2022-10-01,Seated Row (Machine),63.3
2022-10-01,Shoulder Press (Machine),71.7
2022-10-01,Shrug (Barbell),40.7
2022-10-01,Shrug (Dumbbell),46.8
2022-10-01,Skullcrusher (Barbell),45.0
2022-10-01,Triceps Pushdown (Cable - Straight Bar),55.3
2022-10-01,Upright Row (Cable),42.2
2022-11-01,Bench Press (Barbell),109.3
2022-11-01,Bicep Curl (Barbell),44.8
2022-11-01,Bicep Curl (Machine),81.3
2022-11-01,Cable Crossover,22.5
2022-11-01,Chest Dip,30.0
2022-11-01,Chest Fly,99.7
2022-11-01,Hammer Curl (Dumbbell),18.7
2022-11-01,Hip Abductor (Machine),125.7
2022-11-01,Hip Adductor (Machine),170.8
2022-11-01,Incline Bench Press (Dumbbell),45.9
2022-11-01,Iso-Lateral Row (Machine),60.0
2022-11-01,Lat Pulldown (Cable),132.0
2022-11-01,Lateral Raise (Cable),11.8
2022-11-01,Leg Extension (Machine),113.6
2022-11-01,Lying Leg Curl (Machine),80.5
2022-11-01,Overhead Press (Dumbbell),33.6
2022-11-01,Pull Up,13.0
2022-11-01,Romanian Deadlift (Barbell),110.0
2022-11-01,Seated Leg Curl (Machine),95.3
2022-11-01,Seated Leg Press (Machine),164.0
2022-11-01,Seated Row (Machine),113.3
2022-11-01,Shoulder Press (Machine),66.0
2022-11-01,Shrug (Dumbbell),36.7
2022-11-01,T Bar Row,56.0
2022-11-01,Triceps Pushdown (Cable - Straight Bar),52.0
2022-11-01,Upright Row (Cable),44.1
2022-12-01,Back Extension,16.3
2022-12-01,Bench Press (Barbell),106.7
2022-12-01,Bicep Curl (Barbell),46.9
2022-12-01,Bicep Curl (Machine),79.6
2022-12-01,Cable Crossover,22.0
2022-12-01,Chest Dip,29.3
2022-12-01,Hammer Curl (Dumbbell),16.8
2022-12-01,Hip Abductor (Machine),135.3
2022-12-01,Hip Adductor (Machine),170.8
2022-12-01,Incline Bench Press (Dumbbell),45.9
2022-12-01,Iso-Lateral Row (Machine),60.0
2022-12-01,Lat Pulldown (Cable),123.0
2022-12-01,Lateral Raise (Cable),12.3
2022-12-01,Leg Extension (Machine),133.3
2022-12-01,Lying Leg Curl (Machine),80.5
2022-12-01,Pullover (Machine),44.1
2022-12-01,Romanian Deadlift (Barbell),105.0
2022-12-01,Seated Leg Curl (Machine),104.0
2022-12-01,Seated Leg Press (Machine),153.8
2022-12-01,Seated Overhead Press (Dumbbell),33.6
2022-12-01,Seated Row (Cable),93.3
2022-12-01,Shrug (Dumbbell),43.2
2022-12-01,Squat (Smith Machine),60.0
2022-12-01,Triceps Extension,32.6
2022-12-01,Triceps Extension (Cable),38.3
2022-12-01,Triceps Pushdown (Cable - Straight Bar),49.8
2022-12-01,Upright Row (Cable),41.5
2023-01-01,Back Extension,16.7
2023-01-01,Bench Press (Barbell),106.7
2023-01-01,Bicep Curl (Barbell),47.2
2023-01-01,Bicep Curl (Machine),92.0
2023-01-01,Cable Crossover,22.5
2023-01-01,Chest Dip,36.7
2023-01-01,Chest Fly,99.7
2023-01-01,Hammer Curl (Dumbbell),19.6
2023-01-01,Hip Abductor (Machine),125.7
2023-01-01,Hip Adductor (Machine),177.7
2023-01-01,Incline Bench Press (Dumbbell),51.6
2023-01-01,Incline Curl (Dumbbell),17.6
2023-01-01,Lat Pulldown (Cable),126.0
2023-01-01,Lateral Raise (Cable),11.7
2023-01-01,Lateral Raise (Dumbbell),16.0
2023-01-01,Leg Extension (Machine),134.2
2023-01-01,Leg Press,293.3
2023-01-01,Lunge (Dumbbell),25.2
2023-01-01,Lying Leg Curl (Machine),80.5
2023-01-01,Overhead Press (Dumbbell),34.5
2023-01-01,Pullover (Machine),54.2
2023-01-01,Reverse Fly (Machine),83.3
2023-01-01,Romanian Deadlift (Barbell),110.0
2023-01-01,Seated Leg Curl (Machine),101.3
2023-01-01,Seated Leg Press (Machine),165.0
2023-01-01,Seated Overhead Press (Dumbbell),34.4
2023-01-01,Seated Row (Cable),106.7
2023-01-01,Seated Row (Machine),109.3
2023-01-01,Shoulder Press (Machine),71.7
2023-01-01,Shrug (Dumbbell),44.2
2023-01-01,Skullcrusher (Barbell),45.0
2023-01-01,Triceps Extension,32.6
2023-01-01,Triceps Pushdown (Cable - Straight Bar),52.1
2023-01-01,Upright Row (Cable),46.0
2023-02-01,Bench Press (Barbell),107.3
2023-02-01,Bicep Curl (Barbell),44.8
2023-02-01,Cable Crossover,24.9
2023-02-01,Chest Dip,38.3
2023-02-01,Hip Abductor (Machine),125.7
2023-02-01,Hip Adductor (Machine),183.3
2023-02-01,Incline Bench Press (Dumbbell),50.4
2023-02-01,Incline Curl (Dumbbell),17.6
2023-02-01,Lat Pulldown (Cable),122.7
2023-02-01,Lateral Raise (Cable),11.5
2023-02-01,Lateral Raise (Dumbbell),12.8
2023-02-01,Leg Extension (Machine),142.9
2023-02-01,Lunge (Dumbbell),27.3
2023-02-01,Lying Leg Curl (Machine),80.5
2023-02-01,Pull Up,20.0
2023-02-01,Pullover (Machine),52.0
2023-02-01,Romanian Deadlift (Barbell),98.0
2023-02-01,Seated Leg Curl (Machine),103.5
2023-02-01,Seated Leg Press (Machine),164.0
2023-02-01,Seated Overhead Press (Dumbbell),36.8
2023-02-01,Seated Row (Cable),107.3
2023-02-01,Shoulder Press (Machine),70.5
2023-02-01,Shrug (Dumbbell),45.9
2023-02-01,Triceps Extension,27.4
2023-02-01,Triceps Extension (Cable),34.7
2023-02-01,Triceps Pushdown (Cable - Straight Bar),54.2
2023-02-01,Upright Row (Cable),44.1
2023-03-01,Back Extension,16.7
2023-03-01,Bench Press (Barbell),106.7
2023-03-01,Cable Crossover,22.0
2023-03-01,Chest Dip,33.3
2023-03-01,Crunch (Machine),100.0
2023-03-01,Incline Bench Press (Dumbbell),48.7
2023-03-01,Incline Curl (Dumbbell),18.4
2023-03-01,Knee Raise (Captain's Chair),0.0
2023-03-01,Lateral Raise (Cable),11.5
2023-03-01,Leg Extension (Machine),83.3
2023-03-01,Leg Press,56.7
2023-03-01,Lunge (Dumbbell),28.0
2023-03-01,Lying Leg Curl (Machine),80.5
2023-03-01,Pull Up,20.0
2023-03-01,Pullover (Machine),54.2
2023-03-01,Reverse Fly (Machine),76.7
2023-03-01,Romanian Deadlift (Barbell),107.3
2023-03-01,Seated Calf Raise (Plate Loaded),49.0
2023-03-01,Seated Leg Curl (Machine),103.5
2023-03-01,Seated Leg Press (Machine),150.3
2023-03-01,Seated Overhead Press (Dumbbell),38.1
2023-03-01,Seated Row (Cable),98.0
2023-03-01,Seated Row (Machine),112.0
2023-03-01,Shoulder Press (Machine),54.7
2023-03-01,Shrug (Dumbbell),43.3
2023-03-01,Standing Calf Raise (Machine),95.8
2023-03-01,Triceps Extension (Cable),32.6
2023-03-01,Triceps Pushdown (Cable - Straight Bar),46.6
2023-04-01,Back Extension,16.7
2023-04-01,Bench Press (Barbell),109.3
2023-04-01,Bicep Curl (Machine),76.0
2023-04-01,Cable Crossover,23.2
2023-04-01,Chest Dip,31.3
2023-04-01,Chest Press (Machine),44.4
2023-04-01,Crunch (Machine),104.2
2023-04-01,Hip Abductor (Machine),112.7
2023-04-01,Hip Adductor (Machine),170.8
2023-04-01,Incline Curl (Dumbbell),18.0
2023-04-01,Knee Raise (Captain's Chair),0.0
2023-04-01,Lat Pulldown (Cable),114.7
2023-04-01,Lateral Raise (Cable),12.0
2023-04-01,Leg Press,60.9
2023-04-01,Lunge (Dumbbell),31.5
2023-04-01,Lying Leg Curl (Machine),84.3
2023-04-01,Preacher Curl (Barbell),35.1
2023-04-01,Pull Up,14.0
2023-04-01,Pullover (Machine),54.2
2023-04-01,Reverse Fly (Machine),78.0
2023-04-01,Romanian Deadlift (Barbell),109.7
2023-04-01,Seated Calf Raise (Plate Loaded),56.3
2023-04-01,Seated Leg Curl (Machine),104.0
2023-04-01,Seated Leg Press (Machine),157.2
2023-04-01,Seated Overhead Press (Dumbbell),41.6
2023-04-01,Seated Row (Machine),115.5
2023-04-01,Shoulder Press (Machine),61.5
2023-04-01,Shrug (Dumbbell),42.5
2023-04-01,T Bar Row,57.3
2023-04-01,Triceps Pushdown (Cable - Straight Bar),52.0
2023-05-01,Bench Press (Barbell),109.3
2023-05-01,Bent Over Row (Barbell),86.0
2023-05-01,Bicep Curl (Machine),86.0
2023-05-01,Cable Crossover,23.2
2023-05-01,Chest Fly,110.5
2023-05-01,Crunch (Machine),106.2
2023-05-01,Incline Bench Press (Dumbbell),47.6
2023-05-01,Knee Raise (Captain's Chair),0.0
2023-05-01,Lat Pulldown (Cable),129.0
2023-05-01,Lateral Raise (Cable),11.5
2023-05-01,Lateral Raise (Dumbbell),14.7
2023-05-01,Leg Extension (Machine),133.3
2023-05-01,Lying Leg Curl (Machine),43.0
2023-05-01,Overhead Press (Dumbbell),39.9
2023-05-01,Preacher Curl (Barbell),43.2
2023-05-01,Pull Up,18.5
2023-05-01,Reverse Fly (Machine),84.3
2023-05-01,Romanian Deadlift (Barbell),107.3
2023-05-01,Seated Calf Raise (Plate Loaded),51.0
2023-05-01,Seated Leg Curl (Machine),99.7
2023-05-01,Seated Leg Press (Machine),160.6
2023-05-01,Seated Overhead Press (Dumbbell),37.6
2023-05-01,Seated Row (Cable),88.0
2023-05-01,Seated Row (Machine),112.0
2023-05-01,Shoulder Press (Machine),61.5
2023-05-01,Skullcrusher (Barbell),45.9
2023-05-01,Standing Calf Raise (Machine),110.5
2023-05-01,T Bar Row,63.0
2023-05-01,Triceps Pushdown (Cable - Straight Bar),54.2
2023-06-01,Bench Press (Barbell),102.5
2023-06-01,Bent Over Row (Barbell),88.0
2023-06-01,Bicep Curl (Dumbbell),20.1
2023-06-01,Deadlift (Barbell),122.7
2023-06-01,Face Pull (Cable),30.0
2023-06-01,Incline Bench Press (Dumbbell),45.9
2023-06-01,Lateral Raise (Dumbbell),16.0
2023-06-01,Leg Extension (Machine),116.0
2023-06-01,Preacher Curl (Barbell),41.4
2023-06-01,Pull Up,14.0
2023-06-01,Reverse Fly (Machine),83.3
2023-06-01,Romanian Deadlift (Barbell),98.0
2023-06-01,Seated Calf Raise (Plate Loaded),55.0
2023-06-01,Seated Leg Press (Machine),154.0
2023-06-01,Seated Overhead Press (Dumbbell),36.8
2023-06-01,Seated Row (Cable),100.3
2023-06-01,Seated Row (Machine),120.0
2023-06-01,Skullcrusher (Barbell),44.1
2023-06-01,Squat (Barbell),93.3
2023-06-01,Strict Military Press (Barbell),58.5
2023-06-01,Triceps Extension,27.4
2023-07-01,Bench Press (Barbell),112.0
2023-07-01,Bent Over Row (Barbell),93.8
2023-07-01,Chest Fly,109.7
2023-07-01,Deadlift (Barbell),126.7
2023-07-01,Face Pull (Cable),29.2
2023-07-01,Hammer Curl (Dumbbell),20.5
2023-07-01,Incline Bench Press (Dumbbell),48.0
2023-07-01,Lateral Raise (Cable),12.8
2023-07-01,Lateral Raise (Dumbbell),13.3
2023-07-01,Leg Extension (Machine),128.0
2023-07-01,Preacher Curl (Barbell),43.2
2023-07-01,Pull Up,14.0
2023-07-01,Reverse Fly (Machine),87.5
2023-07-01,Romanian Deadlift (Barbell),112.0
2023-07-01,Seated Calf Raise (Plate Loaded),65.3
2023-07-01,Seated Leg Press (Machine),172.5
2023-07-01,Seated Overhead Press (Dumbbell),41.6
2023-07-01,Seated Row (Cable),116.7
2023-07-01,Seated Row (Machine),121.8
2023-07-01,Skullcrusher (Barbell),46.2
2023-07-01,Squat (Barbell),100.3
2023-07-01,Strict Military Press (Barbell),63.3
2023-07-01,Triceps Extension,33.3
2023-08-01,Bench Press (Barbell),109.3
2023-08-01,Bent Over Row (Barbell),92.0
2023-08-01,Deadlift (Barbell),117.0
2023-08-01,Face Pull (Cable),27.4
2023-08-01,Hammer Curl (Dumbbell),19.1
2023-08-01,Incline Bench Press (Dumbbell),43.7
2023-08-01,Lat Pulldown (Cable),120.0
2023-08-01,Lateral Raise (Cable),12.5
2023-08-01,Lateral Raise (Dumbbell),12.8
2023-08-01,Leg Extension (Machine),104.0
2023-08-01,Overhead Press (Dumbbell),35.5
2023-08-01,Preacher Curl (Barbell),38.7
2023-08-01,Pull Up,13.0
2023-08-01,Romanian Deadlift (Barbell),102.7
2023-08-01,Seated Leg Press (Machine),172.3
2023-08-01,Seated Overhead Press (Dumbbell),36.4
2023-08-01,Seated Row (Machine),123.0
2023-08-01,Shoulder Press (Machine),68.0
2023-08-01,Squat (Barbell),88.7
2023-08-01,Triceps Extension,28.8
2023-09-01,Bench Press (Barbell),106.7
2023-09-01,Bicep Curl (Barbell),44.3
2023-09-01,Cable Crossover,24.0
2023-09-01,Chest Dip,28.0
2023-09-01,Hack Squat,95.7
2023-09-01,Hammer Curl (Dumbbell),20.5
2023-09-01,Incline Bench Press (Dumbbell),46.9
2023-09-01,Lat Pulldown (Cable),120.0
2023-09-01,Lateral Raise (Dumbbell),14.0
2023-09-01,Leg Extension (Machine),122.7
2023-09-01,Overhead Press (Dumbbell),35.5
2023-09-01,Pull Up,0.0
2023-09-01,Pullover (Machine),44.1
2023-09-01,Romanian Deadlift (Barbell),107.3
2023-09-01,Seated Leg Curl (Machine),95.8
2023-09-01,Seated Overhead Press (Dumbbell),35.5
2023-09-01,Seated Row (Cable),104.0
2023-09-01,Skullcrusher (Barbell),41.4
2023-09-01,Squat (Barbell),70.0
2023-09-01,T Bar Row,49.0
2023-09-01,Triceps Pushdown (Cable - Straight Bar),49.8
2023-09-01,schlitten ziehen,69.3
2023-10-01,Bench Press (Barbell),109.3
2023-10-01,Bicep Curl (Barbell),48.0
2023-10-01,Cable Crossover,23.5
2023-10-01,Chest Dip,23.0
2023-10-01,Face Pull (Cable),29.8
2023-10-01,Hammer Curl (Dumbbell),14.7
2023-10-01,Incline Bench Press (Dumbbell),49.9
2023-10-01,Lat Pulldown (Cable),129.0
2023-10-01,Lateral Raise (Dumbbell),16.8
2023-10-01,Leg Extension (Machine),101.8
2023-10-01,Leg Press,282.0
2023-10-01,Pullover (Machine),50.9
2023-10-01,Romanian Deadlift (Barbell),107.5
2023-10-01,Seated Leg Curl (Machine),92.0
2023-10-01,Seated Leg Press (Machine),172.3
2023-10-01,Seated Overhead Press (Dumbbell),40.7
2023-10-01,Seated Row (Cable),98.0
2023-10-01,Squat (Barbell),93.3
2023-10-01,Triceps Pushdown (Cable - Straight Bar),54.2
2023-10-01,Upright Row (Dumbbell),16.8
2023-11-01,Bench Press (Barbell),106.7
2023-11-01,Bicep Curl (Barbell),48.0
2023-11-01,Cable Crossover,23.0
2023-11-01,Hammer Curl (Dumbbell),16.4
2023-11-01,Lat Pulldown (Cable),126.0
2023-11-01,Lateral Raise (Dumbbell),16.8
2023-11-01,Pullover (Machine),49.8
2023-11-01,Reverse Fly (Machine),84.0
2023-11-01,Romanian Deadlift (Barbell),109.7
2023-11-01,Seated Overhead Press (Dumbbell),39.9
2023-11-01,Seated Row (Cable),112.0
2023-11-01,Squat (Barbell),98.0
2023-11-01,Triceps Pushdown (Cable - Straight Bar),53.1
2023-11-01,Upright Row (Dumbbell),16.8
2023-12-01,Bench Press (Barbell),95.7
2023-12-01,Bicep Curl (Barbell),45.2
2023-12-01,Bicep Curl (Cable),32.6
2023-12-01,Cable Crossover,21.1
2023-12-01,Face Pull (Cable),24.0
2023-12-01,Hammer Curl (Dumbbell),16.4
2023-12-01,Incline Bench Press (Dumbbell),45.3
2023-12-01,Lat Pulldown (Cable),123.0
2023-12-01,Lateral Raise (Dumbbell),15.7
2023-12-01,Pullover (Machine),52.0
2023-12-01,Romanian Deadlift (Barbell),102.7
2023-12-01,Seated Overhead Press (Dumbbell),39.9
2023-12-01,Seated Row (Cable),98.0
2023-12-01,Squat (Barbell),84.0
2023-12-01,Triceps Extension,28.0
2023-12-01,Triceps Pushdown (Cable - Straight Bar),52.0
2023-12-01,Upright Row (Dumbbell),15.3
2024-01-01,Bench Press (Barbell),95.7
2024-01-01,Bent Over One Arm Row (Dumbbell),40.7
2024-01-01,Bicep Curl (Barbell),49.1
2024-01-01,Bicep Curl (Cable),14.7
2024-01-01,Cable Crossover,21.0
2024-01-01,Face Pull (Cable),31.9
2024-01-01,Hammer Curl (Dumbbell),16.0
2024-01-01,Incline Bench Press (Dumbbell),45.9
2024-01-01,Lat Pulldown (Cable),120.0
2024-01-01,Lateral Raise (Dumbbell),16.3
2024-01-01,Leg Extension (Machine),88.2
2024-01-01,Lunge (Dumbbell),27.3
2024-01-01,Pull Up,14.7
2024-01-01,Pullover (Machine),42.2
2024-01-01,Reverse Fly (Dumbbell),12.3
2024-01-01,Romanian Deadlift (Barbell),100.3
2024-01-01,Seated Calf Raise (Plate Loaded),41.7
2024-01-01,Seated Leg Curl (Machine),95.3
2024-01-01,Seated Overhead Press (Dumbbell),42.9
2024-01-01,Seated Row (Cable),112.0
2024-01-01,Seated Row (Machine),112.0
2024-01-01,Shoulder Press (Machine),63.0
2024-01-01,Shrug (Dumbbell),41.6
